train_id,section_id,scheduled_entry_time,scheduled_exit_time,planned_stop_next_station,dwell_minutes_next_station
T0027,STN_01__STN_02,18:53,19:19,0,0
T0027,STN_02__STN_03,19:19,19:42,1,3
T0027,STN_03__STN_04,19:45,20:12,1,2
T0027,STN_04__STN_05,20:14,20:27,1,2
T0027,STN_05__STN_11,20:29,20:55,1,1
T0027,STN_11__STN_12,20:56,21:18,0,0
T0028,STN_05__STN_11,15:08,15:26,1,4
T0028,STN_05__STN_06,15:30,15:44,0,0
T0028,STN_06__STN_07,15:44,15:53,0,0
T0029,STN_05__STN_06,22:42,23:05,1,1
T0029,STN_06__STN_07,23:06,23:21,0,0
T0030,STN_06__STN_07,19:04,19:15,1,2
T0030,STN_07__STN_08,19:17,19:29,0,0
T0031,STN_03__STN_04,06:53,07:14,0,0
T0031,STN_04__STN_05,07:14,07:26,1,8
T0031,STN_05__STN_11,07:34,07:56,0,0
T0032,STN_02__STN_03,05:34,05:51,1,3
T0032,STN_01__STN_02,05:54,06:14,0,0
T0033,STN_04__STN_05,03:46,03:58,0,0
T0033,STN_05__STN_11,03:58,04:21,0,0
T0033,STN_11__STN_12,04:21,04:42,0,0
T0034,STN_06__STN_07,10:00,10:18,0,0
T0034,STN_05__STN_06,10:18,10:44,0,0
T0034,STN_04__STN_05,10:44,11:02,0,0
T0035,STN_07__STN_08,22:07,22:16,0,0
T0035,STN_06__STN_07,22:16,22:24,0,0
T0035,STN_05__STN_06,22:24,22:36,0,0
T0035,STN_05__STN_11,22:36,22:51,0,0
T0036,STN_07__STN_08,20:12,20:26,0,0
T0036,STN_06__STN_07,20:26,20:39,0,0
T0036,STN_05__STN_06,20:39,20:59,0,0
T0036,STN_04__STN_05,20:59,21:11,0,0
T0036,STN_03__STN_04,21:11,21:36,0,0
T0037,STN_06__STN_07,06:45,06:54,1,8
T0037,STN_07__STN_08,07:02,07:12,1,6
T0037,STN_08__STN_09,07:18,07:39,0,0
T0038,STN_01__STN_02,18:20,18:45,1,3
T0038,STN_02__STN_03,18:48,19:08,0,0
T0038,STN_03__STN_04,19:08,19:32,0,0
T0039,STN_08__STN_09,22:38,22:59,0,0
T0039,STN_07__STN_08,22:59,23:09,1,2
T0039,STN_06__STN_07,23:11,23:20,1,3
T0039,STN_05__STN_06,23:23,23:38,1,2
T0039,STN_05__STN_11,23:40,23:59,0,0
T0039,STN_11__STN_12,23:59,00:14,0,0
T0040,STN_09__STN_10,04:55,05:18,0,0
T0040,STN_08__STN_09,05:18,05:46,0,0
T0040,STN_07__STN_08,05:46,05:59,0,0
T0040,STN_06__STN_07,05:59,06:11,0,0
T0040,STN_05__STN_06,06:11,06:30,0,0
T0040,STN_05__STN_11,06:30,06:55,0,0
T0041,STN_02__STN_03,04:39,04:56,1,2
T0041,STN_03__STN_04,04:58,05:17,1,3
T0041,STN_04__STN_05,05:20,05:30,1,1
T0041,STN_05__STN_06,05:31,05:46,1,1
T0041,STN_06__STN_07,05:47,05:57,1,1
T0041,STN_07__STN_08,05:58,06:09,0,0
T0042,STN_03__STN_04,00:43,00:59,0,0
T0042,STN_04__STN_05,00:59,01:07,1,5
T0042,STN_05__STN_06,01:12,01:24,1,5
T0042,STN_06__STN_07,01:29,01:37,0,0
T0042,STN_07__STN_08,01:37,01:46,0,0
T0042,STN_08__STN_09,01:46,02:03,1,8
T0042,STN_09__STN_10,02:11,02:26,0,0
T0043,STN_05__STN_11,08:07,08:33,1,1
T0043,STN_05__STN_06,08:34,08:54,1,2
T0043,STN_06__STN_07,08:56,09:09,1,1
T0043,STN_07__STN_08,09:10,09:25,0,0
T0043,STN_08__STN_09,09:25,09:54,0,0
T0043,STN_09__STN_10,09:54,10:20,0,0
T0044,STN_03__STN_04,10:00,10:22,0,0
T0044,STN_04__STN_05,10:22,10:33,0,0
T0044,STN_05__STN_06,10:33,10:50,0,0
T0044,STN_06__STN_07,10:50,11:02,0,0
T0045,STN_05__STN_06,06:57,07:17,1,2
T0045,STN_04__STN_05,07:19,07:33,0,0
T0046,STN_01__STN_02,15:05,15:31,1,2
T0046,STN_02__STN_03,15:33,15:55,0,0
T0046,STN_03__STN_04,15:55,16:21,1,1
T0046,STN_04__STN_05,16:22,16:35,1,1
T0046,STN_05__STN_06,16:36,16:56,1,1
T0046,STN_06__STN_07,16:57,17:10,1,2
T0046,STN_07__STN_08,17:12,17:26,0,0
T0047,STN_04__STN_05,03:36,03:42,0,0
T0047,STN_05__STN_06,03:42,03:51,0,0
T0047,STN_06__STN_07,03:51,03:57,0,0
T0048,STN_11__STN_12,13:14,13:34,0,0
T0048,STN_05__STN_11,13:34,13:59,0,0
T0048,STN_05__STN_06,13:59,14:18,0,0
T0048,STN_06__STN_07,14:18,14:31,0,0
T0048,STN_07__STN_08,14:31,14:45,0,0
T0049,STN_04__STN_05,10:37,10:45,1,5
T0049,STN_03__STN_04,10:50,11:05,1,5
T0049,STN_02__STN_03,11:10,11:24,0,0
T0050,STN_11__STN_12,01:46,01:58,0,0
T0050,STN_05__STN_11,01:58,02:13,0,0
T0050,STN_04__STN_05,02:13,02:20,0,0
T0050,STN_03__STN_04,02:20,02:34,0,0
T0051,STN_07__STN_08,06:13,06:20,1,2
T0051,STN_06__STN_07,06:22,06:28,0,0
T0051,STN_05__STN_06,06:28,06:37,1,3
T0051,STN_04__STN_05,06:40,06:46,0,0
T0051,STN_03__STN_04,06:46,06:58,0,0
T0051,STN_02__STN_03,06:58,07:08,0,0
T0052,STN_07__STN_08,00:05,00:19,1,3
T0052,STN_06__STN_07,00:22,00:34,0,0
T0052,STN_05__STN_06,00:34,00:52,0,0
T0053,STN_05__STN_11,09:21,09:41,1,1
T0053,STN_04__STN_05,09:42,09:53,1,3
T0053,STN_03__STN_04,09:56,10:17,1,2
T0053,STN_02__STN_03,10:19,10:38,0,0
T0054,STN_02__STN_03,11:58,12:20,1,3
T0054,STN_03__STN_04,12:23,12:46,0,0
T0054,STN_04__STN_05,12:46,12:58,1,1
T0054,STN_05__STN_11,12:59,13:23,0,0
T0055,STN_03__STN_04,00:18,00:51,0,0
T0055,STN_04__STN_05,00:51,01:08,0,0
T0056,STN_05__STN_11,17:44,17:57,0,0
T0056,STN_11__STN_12,17:57,18:07,0,0
T0057,STN_06__STN_07,15:00,15:08,1,3
T0057,STN_05__STN_06,15:11,15:24,0,0
T0057,STN_05__STN_11,15:24,15:40,0,0
T0057,STN_11__STN_12,15:40,15:54,0,0
T0058,STN_09__STN_10,09:58,10:24,1,2
T0058,STN_08__STN_09,10:26,10:55,1,3
T0058,STN_07__STN_08,10:58,11:14,0,0
T0058,STN_06__STN_07,11:14,11:28,1,2
T0058,STN_05__STN_06,11:30,11:51,0,0
T0058,STN_04__STN_05,11:51,12:05,1,2
T0058,STN_03__STN_04,12:07,12:34,1,3
T0058,STN_02__STN_03,12:37,12:59,1,2
T0058,STN_01__STN_02,13:01,13:28,0,0
T0059,STN_08__STN_09,02:26,02:58,0,0
T0059,STN_07__STN_08,02:58,03:13,0,0
T0059,STN_06__STN_07,03:13,03:27,0,0
T0059,STN_05__STN_06,03:27,03:48,1,9
T0059,STN_04__STN_05,03:57,04:11,0,0
T0059,STN_03__STN_04,04:11,04:38,0,0
T0059,STN_02__STN_03,04:38,05:01,0,0
T0059,STN_01__STN_02,05:01,05:29,0,0
T0060,STN_05__STN_06,04:28,04:43,1,3
T0060,STN_06__STN_07,04:46,04:56,1,4
T0060,STN_07__STN_08,05:00,05:11,0,0
T0060,STN_08__STN_09,05:11,05:33,0,0
T0061,STN_04__STN_05,22:48,22:55,1,7
T0061,STN_05__STN_06,23:02,23:14,0,0
T0061,STN_06__STN_07,23:14,23:22,1,6
T0061,STN_07__STN_08,23:28,23:36,0,0
T0062,STN_01__STN_02,14:11,14:39,1,3
T0062,STN_02__STN_03,14:42,15:05,1,3
T0062,STN_03__STN_04,15:08,15:34,1,3
T0062,STN_04__STN_05,15:37,15:51,0,0
T0063,STN_11__STN_12,23:31,23:56,0,0
T0063,STN_05__STN_11,23:56,00:26,0,0
T0063,STN_04__STN_05,00:26,00:42,0,0
T0064,STN_06__STN_07,02:15,02:30,0,0
T0064,STN_05__STN_06,02:30,02:50,0,0
T0064,STN_05__STN_11,02:50,03:17,0,0
T0065,STN_02__STN_03,19:35,19:57,0,0
T0065,STN_03__STN_04,19:57,20:23,0,0
T0065,STN_04__STN_05,20:23,20:36,0,0
T0065,STN_05__STN_06,20:36,20:56,0,0
T0065,STN_06__STN_07,20:56,21:09,1,10
T0065,STN_07__STN_08,21:19,21:34,0,0
T0065,STN_08__STN_09,21:34,22:03,0,0
T0066,STN_01__STN_02,06:20,06:36,0,0
T0066,STN_02__STN_03,06:36,06:49,1,3
T0066,STN_03__STN_04,06:52,07:07,1,8
T0066,STN_04__STN_05,07:15,07:23,1,4
T0066,STN_05__STN_06,07:27,07:39,0,0
T0066,STN_06__STN_07,07:39,07:47,0,0
T0066,STN_07__STN_08,07:47,07:56,1,4
T0066,STN_08__STN_09,08:00,08:17,1,8
T0066,STN_09__STN_10,08:25,08:41,0,0
T0067,STN_09__STN_10,01:09,01:25,0,0
T0067,STN_08__STN_09,01:25,01:43,1,4
T0067,STN_07__STN_08,01:47,01:56,0,0
T0068,STN_07__STN_08,03:07,03:18,1,2
T0068,STN_06__STN_07,03:20,03:30,1,2
T0068,STN_05__STN_06,03:32,03:47,0,0
T0069,STN_04__STN_05,20:29,20:42,1,2
T0069,STN_05__STN_06,20:44,21:04,0,0
T0069,STN_06__STN_07,21:04,21:17,0,0
T0070,STN_06__STN_07,04:16,04:28,0,0
T0070,STN_05__STN_06,04:28,04:46,0,0
T0071,STN_11__STN_12,13:46,13:57,1,4
T0071,STN_05__STN_11,14:01,14:13,1,4
T0071,STN_05__STN_06,14:17,14:27,0,0
T0071,STN_06__STN_07,14:27,14:34,0,0
T0071,STN_07__STN_08,14:34,14:41,0,0
T0072,STN_01__STN_02,19:02,19:25,0,0
T0072,STN_02__STN_03,19:25,19:45,0,0
T0072,STN_03__STN_04,19:45,20:07,0,0
T0072,STN_04__STN_05,20:07,20:19,0,0
T0073,STN_06__STN_07,21:07,21:17,0,0
T0073,STN_07__STN_08,21:17,21:27,0,0
T0073,STN_08__STN_09,21:27,21:48,0,0
T0074,STN_05__STN_06,19:59,20:17,0,0
T0074,STN_04__STN_05,20:17,20:29,0,0
T0074,STN_03__STN_04,20:29,20:51,0,0
T0074,STN_02__STN_03,20:51,21:11,0,0
T0075,STN_02__STN_03,04:28,04:52,0,0
T0075,STN_03__STN_04,04:52,05:19,0,0
T0075,STN_04__STN_05,05:19,05:33,0,0
T0075,STN_05__STN_06,05:33,05:55,0,0
T0075,STN_06__STN_07,05:55,06:10,0,0
T0076,STN_08__STN_09,00:49,01:13,1,2
T0076,STN_07__STN_08,01:15,01:28,1,2
T0076,STN_06__STN_07,01:30,01:41,0,0
T0077,STN_05__STN_06,07:57,08:09,0,0
T0077,STN_06__STN_07,08:09,08:17,0,0
T0077,STN_07__STN_08,08:17,08:26,0,0
T0078,STN_08__STN_09,00:02,00:23,1,2
T0078,STN_07__STN_08,00:25,00:36,0,0
T0079,STN_06__STN_07,05:07,05:19,0,0
T0079,STN_05__STN_06,05:19,05:37,0,0
T0080,STN_02__STN_03,16:32,16:48,0,0
T0080,STN_03__STN_04,16:48,17:05,1,4
T0080,STN_04__STN_05,17:09,17:19,0,0
T0080,STN_05__STN_11,17:19,17:37,0,0
T0081,STN_09__STN_10,05:43,05:58,1,3
T0081,STN_08__STN_09,06:01,06:18,1,6
T0081,STN_07__STN_08,06:24,06:32,1,3
T0081,STN_06__STN_07,06:35,06:43,1,6
T0081,STN_05__STN_06,06:49,07:00,0,0
T0081,STN_04__STN_05,07:00,07:07,1,4
T0081,STN_03__STN_04,07:11,07:26,1,2
T0081,STN_02__STN_03,07:28,07:41,0,0
T0081,STN_01__STN_02,07:41,07:57,0,0
T0082,STN_03__STN_04,05:47,06:17,1,1
T0082,STN_04__STN_05,06:18,06:35,0,0
T0083,STN_06__STN_07,00:15,00:25,1,3
T0083,STN_07__STN_08,00:28,00:39,1,3
T0083,STN_08__STN_09,00:42,01:05,0,0
T0084,STN_06__STN_07,07:41,07:50,0,0
T0084,STN_05__STN_06,07:50,08:04,1,3
T0084,STN_05__STN_11,08:07,08:24,0,0
T0085,STN_05__STN_11,22:43,22:56,0,0
T0085,STN_05__STN_06,22:56,23:06,1,6
T0085,STN_06__STN_07,23:12,23:19,1,2
T0085,STN_07__STN_08,23:21,23:29,0,0
T0085,STN_08__STN_09,23:29,23:44,0,0
T0085,STN_09__STN_10,23:44,23:56,0,0
T0086,STN_06__STN_07,07:14,07:28,1,2
T0086,STN_05__STN_06,07:30,07:51,1,2
T0086,STN_05__STN_11,07:53,08:19,0,0
T0086,STN_11__STN_12,08:19,08:41,0,0
T0087,STN_05__STN_06,22:59,23:08,0,0
T0087,STN_04__STN_05,23:08,23:14,0,0
T0087,STN_03__STN_04,23:14,23:26,0,0
T0088,STN_06__STN_07,05:45,05:57,0,0
T0088,STN_05__STN_06,05:57,06:14,0,0
T0088,STN_05__STN_11,06:14,06:35,0,0
T0088,STN_11__STN_12,06:35,06:52,0,0
T0089,STN_08__STN_09,07:55,08:09,0,0
T0089,STN_07__STN_08,08:09,08:16,0,0
T0089,STN_06__STN_07,08:16,08:22,0,0
T0090,STN_08__STN_09,00:47,01:15,0,0
T0090,STN_07__STN_08,01:15,01:28,0,0
T0090,STN_06__STN_07,01:28,01:40,0,0
T0090,STN_05__STN_06,01:40,01:58,1,7
T0090,STN_04__STN_05,02:05,02:17,0,0
T0090,STN_03__STN_04,02:17,02:39,0,0
T0090,STN_02__STN_03,02:39,02:59,0,0
T0090,STN_01__STN_02,02:59,03:23,0,0
T0091,STN_03__STN_04,14:38,15:04,1,3
T0091,STN_04__STN_05,15:07,15:20,0,0
T0091,STN_05__STN_06,15:20,15:39,0,0
T0092,STN_05__STN_11,13:17,13:47,1,3
T0092,STN_04__STN_05,13:50,14:06,1,3
T0092,STN_03__STN_04,14:09,14:39,1,2
T0092,STN_02__STN_03,14:41,15:09,0,0
T0093,STN_01__STN_02,17:29,17:54,1,1
T0093,STN_02__STN_03,17:55,18:15,1,1
T0093,STN_03__STN_04,18:16,18:39,0,0
T0094,STN_01__STN_02,18:41,19:01,1,8
T0094,STN_02__STN_03,19:09,19:26,1,8
T0094,STN_03__STN_04,19:34,19:54,1,8
T0094,STN_04__STN_05,20:02,20:12,1,3
T0094,STN_05__STN_06,20:15,20:31,1,7
T0094,STN_06__STN_07,20:38,20:48,0,0
T0094,STN_07__STN_08,20:48,20:59,0,0
T0095,STN_05__STN_06,01:05,01:19,1,2
T0095,STN_04__STN_05,01:21,01:30,0,0
T0095,STN_03__STN_04,01:30,01:47,0,0
T0096,STN_02__STN_03,14:35,14:55,1,1
T0096,STN_03__STN_04,14:56,15:18,1,3
T0096,STN_04__STN_05,15:21,15:33,0,0
T0096,STN_05__STN_06,15:33,15:50,1,3
T0096,STN_06__STN_07,15:53,16:05,0,0
T0097,STN_03__STN_04,09:13,09:33,0,0
T0097,STN_04__STN_05,09:33,09:43,0,0
T0097,STN_05__STN_06,09:43,09:58,0,0
T0097,STN_06__STN_07,09:58,10:09,1,7
T0097,STN_07__STN_08,10:16,10:27,0,0
T0097,STN_08__STN_09,10:27,10:49,0,0
T0097,STN_09__STN_10,10:49,11:08,0,0
T0098,STN_07__STN_08,14:20,14:34,1,2
T0098,STN_06__STN_07,14:36,14:48,1,2
T0098,STN_05__STN_06,14:50,15:07,1,2
T0098,STN_05__STN_11,15:09,15:31,0,0
T0099,STN_08__STN_09,19:47,20:27,0,0
T0099,STN_07__STN_08,20:27,20:47,0,0
T0100,STN_09__STN_10,10:25,10:36,0,0
T0100,STN_08__STN_09,10:36,10:49,1,2
T0100,STN_07__STN_08,10:51,10:58,0,0
T0100,STN_06__STN_07,10:58,11:04,1,3
T0100,STN_05__STN_06,11:07,11:16,0,0
T0100,STN_05__STN_11,11:16,11:28,0,0
T0101,STN_03__STN_04,16:43,17:05,1,2
T0101,STN_04__STN_05,17:07,17:18,1,3
T0101,STN_05__STN_06,17:21,17:38,0,0
T0102,STN_08__STN_09,17:11,17:28,0,0
T0102,STN_07__STN_08,17:28,17:37,0,0
T0102,STN_06__STN_07,17:37,17:45,0,0
T0102,STN_05__STN_06,17:45,17:57,1,4
T0102,STN_05__STN_11,18:01,18:16,0,0
T0103,STN_06__STN_07,00:18,00:29,1,3
T0103,STN_05__STN_06,00:32,00:48,1,1
T0103,STN_04__STN_05,00:49,01:00,0,0
T0103,STN_03__STN_04,01:00,01:21,0,0
T0104,STN_02__STN_03,02:53,03:13,1,2
T0104,STN_03__STN_04,03:15,03:37,0,0
T0104,STN_04__STN_05,03:37,03:49,1,1
T0104,STN_05__STN_11,03:50,04:12,0,0
T0105,STN_04__STN_05,21:19,21:27,0,0
T0105,STN_03__STN_04,21:27,21:43,1,4
T0105,STN_02__STN_03,21:47,22:01,0,0
T0106,STN_06__STN_07,09:32,09:43,1,3
T0106,STN_05__STN_06,09:46,10:03,1,2
T0106,STN_04__STN_05,10:05,10:16,1,3
T0106,STN_03__STN_04,10:19,10:40,0,0
T0107,STN_11__STN_12,11:59,12:21,1,2
T0107,STN_05__STN_11,12:23,12:50,1,3
T0107,STN_05__STN_06,12:53,13:14,0,0
T0107,STN_06__STN_07,13:14,13:27,1,2
T0107,STN_07__STN_08,13:29,13:44,0,0
T0108,STN_04__STN_05,08:43,08:58,1,2
T0108,STN_05__STN_06,09:00,09:23,1,1
T0108,STN_06__STN_07,09:24,09:39,1,1
T0108,STN_07__STN_08,09:40,09:56,1,2
T0108,STN_08__STN_09,09:58,10:30,1,2
T0108,STN_09__STN_10,10:32,10:59,0,0
T0109,STN_05__STN_06,18:09,18:28,0,0
T0109,STN_04__STN_05,18:28,18:41,0,0
T0109,STN_03__STN_04,18:41,19:06,1,6
T0109,STN_02__STN_03,19:12,19:36,0,0
T0109,STN_01__STN_02,19:36,20:04,0,0
T0110,STN_07__STN_08,08:44,08:52,0,0
T0110,STN_06__STN_07,08:52,08:59,0,0
T0110,STN_05__STN_06,08:59,09:10,1,3
T0110,STN_05__STN_11,09:13,09:27,0,0
T0110,STN_11__STN_12,09:27,09:39,0,0
T0111,STN_04__STN_05,01:48,01:56,0,0
T0111,STN_05__STN_06,01:56,02:07,0,0
T0111,STN_06__STN_07,02:07,02:14,0,0
T0112,STN_09__STN_10,08:54,09:05,1,4
T0112,STN_08__STN_09,09:09,09:21,0,0
T0112,STN_07__STN_08,09:21,09:27,1,4
T0112,STN_06__STN_07,09:31,09:36,0,0
T0112,STN_05__STN_06,09:36,09:45,0,0
T0112,STN_04__STN_05,09:45,09:51,0,0
T0113,STN_01__STN_02,17:12,17:30,1,3
T0113,STN_02__STN_03,17:33,17:48,1,4
T0113,STN_03__STN_04,17:52,18:09,0,0
T0113,STN_04__STN_05,18:09,18:18,0,0
T0113,STN_05__STN_11,18:18,18:34,0,0
T0114,STN_05__STN_06,09:58,10:09,0,0
T0114,STN_05__STN_11,10:09,10:22,0,0
T0115,STN_11__STN_12,05:15,05:38,1,1
T0115,STN_05__STN_11,05:39,06:08,1,2
T0115,STN_05__STN_06,06:10,06:32,0,0
T0115,STN_06__STN_07,06:32,06:47,1,3
T0115,STN_07__STN_08,06:50,07:06,0,0
T0116,STN_01__STN_02,15:19,15:34,0,0
T0116,STN_02__STN_03,15:34,15:47,1,6
T0116,STN_03__STN_04,15:53,16:08,1,4
T0116,STN_04__STN_05,16:12,16:20,1,7
T0116,STN_05__STN_11,16:27,16:42,0,0
T0117,STN_02__STN_03,00:33,00:46,1,4
T0117,STN_03__STN_04,00:50,01:03,1,4
T0117,STN_04__STN_05,01:07,01:14,0,0
T0117,STN_05__STN_06,01:14,01:25,0,0
T0117,STN_06__STN_07,01:25,01:32,0,0
T0118,STN_06__STN_07,18:50,18:56,0,0
T0118,STN_07__STN_08,18:56,19:03,1,5
T0118,STN_08__STN_09,19:08,19:21,0,0
T0118,STN_09__STN_10,19:21,19:33,0,0
T0119,STN_09__STN_10,18:57,19:28,1,10
T0119,STN_08__STN_09,19:38,20:15,0,0
T0119,STN_07__STN_08,20:15,20:33,0,0
T0119,STN_06__STN_07,20:33,20:50,0,0
T0119,STN_05__STN_06,20:50,21:15,1,7
T0119,STN_05__STN_11,21:22,21:54,0,0
T0120,STN_11__STN_12,21:02,21:15,0,0
T0120,STN_05__STN_11,21:15,21:30,0,0
T0120,STN_04__STN_05,21:30,21:38,1,7
T0120,STN_03__STN_04,21:45,22:00,0,0
T0121,STN_03__STN_04,08:37,09:03,0,0
T0121,STN_02__STN_03,09:03,09:26,0,0
T0122,STN_05__STN_11,02:47,03:16,1,3
T0122,STN_05__STN_06,03:19,03:42,0,0
T0123,STN_03__STN_04,21:21,21:40,0,0
T0123,STN_04__STN_05,21:40,21:50,1,6
T0123,STN_05__STN_06,21:56,22:11,0,0
T0124,STN_03__STN_04,06:56,07:20,1,3
T0124,STN_04__STN_05,07:23,07:36,1,2
T0124,STN_05__STN_06,07:38,07:58,1,2
T0124,STN_06__STN_07,08:00,08:13,1,3
T0124,STN_07__STN_08,08:16,08:30,1,3
T0124,STN_08__STN_09,08:33,09:02,1,1
T0124,STN_09__STN_10,09:03,09:27,0,0
T0125,STN_02__STN_03,09:13,09:44,0,0
T0125,STN_03__STN_04,09:44,10:20,0,0
T0125,STN_04__STN_05,10:20,10:39,0,0
T0125,STN_05__STN_06,10:39,11:06,1,8
T0125,STN_06__STN_07,11:14,11:33,0,0
T0125,STN_07__STN_08,11:33,11:52,0,0
T0125,STN_08__STN_09,11:52,12:32,0,0
T0126,STN_05__STN_11,00:39,01:06,0,0
T0126,STN_05__STN_06,01:06,01:27,0,0
T0126,STN_06__STN_07,01:27,01:41,0,0
T0126,STN_07__STN_08,01:41,01:58,1,1
T0126,STN_08__STN_09,01:59,02:32,1,3
T0126,STN_09__STN_10,02:35,03:02,0,0
T0127,STN_05__STN_06,12:21,12:41,0,0
T0127,STN_06__STN_07,12:41,12:53,1,5
T0127,STN_07__STN_08,12:58,13:12,0,0
T0128,STN_04__STN_05,00:42,00:54,0,0
T0128,STN_05__STN_06,00:54,01:12,0,0
T0129,STN_06__STN_07,16:38,16:52,0,0
T0129,STN_05__STN_06,16:52,17:13,0,0
T0129,STN_04__STN_05,17:13,17:27,0,0
T0129,STN_03__STN_04,17:27,17:53,0,0
T0130,STN_06__STN_07,09:27,09:40,0,0
T0130,STN_05__STN_06,09:40,09:59,0,0
